Date & Time,Twin Member,Twin Standard,King Member,King Standard,Lowest Price,Lowest Room,Lowest Rate Type
2026-09-07 09:39:19,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 10:12:45,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 10:41:52,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 11:11:55,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 11:47:21,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 12:17:07,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 12:44:15,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 13:13:13,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 13:43:48,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 14:13:13,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 14:43:37,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 15:13:20,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 15:42:28,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 16:11:33,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 16:42:34,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 17:12:13,13005,14450,13905,15450,13005,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 17:46:20,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 18:15:59,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 18:43:45,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 19:12:55,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 19:42:59,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 20:12:19,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 20:42:02,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 21:09:51,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 21:11:55,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 21:17:13,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 21:21:03,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 21:36:47,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 22:09:09,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 22:20:56,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 22:35:51,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 22:53:29,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 23:04:12,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 23:07:29,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 23:27:17,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-07 23:37:26,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 00:11:35,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 00:35:43,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 01:06:23,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 01:36:51,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 07:38:15,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 03:07:33,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 03:36:11,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 04:06:23,12951,14390,13851,15390,12951,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 04:36:24,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 05:05:23,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 05:39:36,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 06:15:46,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 06:37:08,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 07:08:13,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 07:36:10,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 08:09:14,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 08:36:21,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 09:10:15,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 09:36:14,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 10:10:04,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
2026-09-08 10:36:09,12942,14380,13842,15380,12942,SUPERIOR ROOM TWIN BED,MEMBER
